Name,Age_rating,Seller,Price,Category,point,length,embedding,2D
YouTube Music,12+,Google LLC,Free,Music,34,37781,"[-0.01838615 -0.06237019 -0.02581045 ...  0.02073945 -0.00291696
  0.01212332]","[-2.0350592136383057, -2.01132869720459]"
Vrbo Vacation Rentals,17+,"HomeAway.com, Inc.",Free,Travel,0,44014,"[-0.03453702 -0.04104629 -0.01954359 ...  0.00603134  0.00287348
  0.01109893]","[7.645936489105225, 1.7507474422454834]"
eBay Selling & Shopping Online,12+,eBay Inc.,Free,Shopping,too long,116409,"[-0.03857993 -0.05308456 -0.02663145 ...  0.01092306  0.00266017
  0.00656498]","[7.465193748474121, -1.0656979084014893]"
Starbucks,4+,Starbucks Coffee Company,Free,Food & Drink,9,8203,"[-0.03391088 -0.01430615 -0.00531463 ... -0.00387157 -0.00999504
  0.0163453 ]","[-3.5389764308929443, 8.54764175415039]"
Intuit Credit Karma,4+,"Credit Karma, Inc.",Free,Finance,24,81604,"[-3.43023799e-02 -5.06724901e-02 -3.10967024e-02 ...  9.16140433e-03
 -5.09468373e-05  1.42994383e-03]","[5.400784015655518, 0.8518169522285461]"
"Tinder: Dating, Chat & Friends",17+,Tinder Inc.,Free,Lifestyle,9,4596,"[ 0.00424673 -0.04778677 -0.00901512 ...  0.00612397 -0.00405203
  0.01379086]","[-0.08723092079162598, 7.819108963012695]"
PrizePicks - Fantasy Game,17+,"SidePrize, LLC",Free,Sports,16,43366,"[-0.03159148 -0.05748224 -0.01675378 ...  0.02025338 -0.01617579
  0.0022308 ]","[3.1828746795654297, 0.004325796850025654]"
DoorDash - Dasher,12+,"DoorDash, Inc.",Free,Business,14,46962,"[-0.0343257  -0.04389135 -0.02554093 ...  0.01029771 -0.01305516
 -0.00857329]","[3.2789535522460938, 3.2066776752471924]"
"Etsy: Home, Style & Gifts",12+,"Etsy, Inc.",Free,Shopping,26,53599,"[-0.01130355 -0.04478486 -0.03071528 ...  0.00761277  0.00732791
 -0.009421  ]","[6.650814533233643, -2.871812105178833]"
PlayStation App,12+,PlayStation Mobile Inc.,Free,Entertainment,26,27870,"[-0.01375786 -0.02836152 -0.01230919 ...  0.00453721 -0.00086212
  0.01113945]","[-2.1322646141052246, 6.752816200256348]"
"Nike: Shoes, Apparel, Stories",4+,"Nike, Inc",Free,Shopping,0,8234,"[-0.02151319 -0.0233973   0.00035488 ...  0.0074808  -0.00015255
  0.00149338]","[-5.930569171905518, 0.8496387600898743]"
Question.AI-AI Math Calculator,12+,3HOUSE,Free,Education,28,33534,"[-0.02332397 -0.04423679 -0.00855963 ... -0.00279494  0.00566221
  0.00302802]","[1.4430392980575562, 6.280076026916504]"
VPN - Super Unlimited Proxy,4+,Mobile Jump Pte Ltd,Free,Productivity,13,30065,"[-0.03517168 -0.03394552 -0.00526365 ... -0.00372287 -0.00789346
 -0.00530399]","[-4.307425022125244, 6.623874664306641]"
Target,4+,Target,Free,Shopping,7,51768,"[-0.03655154 -0.06229538 -0.0192827  ...  0.01971904 -0.01640456
 -0.00151983]","[2.640869379043579, -0.2540592551231384]"
Instacart-Get Grocery Delivery,12+,Maplebear Inc,Free,Food & Drink,18,42027,"[-0.03801857 -0.04252718 -0.02070002 ...  0.00589471 -0.01274902
  0.00085298]","[2.735400676727295, 2.3416783809661865]"
Costco,4+,Costco Wholesale Corporation,Free,Shopping,24,51657,"[-0.02606399 -0.05515339 -0.01992239 ...  0.0049806   0.00021473
 -0.01611036]","[3.6998629570007324, -2.1981563568115234]"
JustFit: Lazy Workout & Fit,4+,Enerjoy Pte. Ltd.,Free,Health & Fitness,17,16654,"[-0.04847631 -0.02691775 -0.00869346 ...  0.00376437  0.00053953
  0.00867823]","[-7.783037185668945, 3.9983015060424805]"
Google Sheets,4+,Google LLC,Free,Productivity,18,37781,"[-0.01847057 -0.06207448 -0.02583148 ...  0.02114175 -0.00280018
  0.0117471 ]","[-1.3321309089660645, -2.06089448928833]"
Bible,4+,Life.Church,Free,Reference,15,52994,"[-0.02115996 -0.04417381 -0.02115996 ...  0.01560627 -0.01180259
  0.0020207 ]","[5.4009690284729, -1.478386402130127]"
TextNow: Call + Text Unlimited,12+,"TextNow, Inc.",Free,Social Networking,16,36052,"[-0.03151965 -0.03264052 -0.00664309 ... -0.0019422  -0.00709723
 -0.00979795]","[-5.216877460479736, 5.532904624938965]"
LooksMax AI,12+,Mnkybrain Labs,Free,Lifestyle,5,3088,"[-0.0468697  -0.00873382  0.0022067  ...  0.00069892  0.00844709
  0.0092453 ]","[-1.6790817975997925, 8.92524528503418]"
Zillow Real Estate & Rentals,4+,Zillow.com,Free,Lifestyle,15,48955,"[-0.03056755 -0.06560841 -0.02461837 ...  0.01465234 -0.02169703
  0.00441244]","[1.783536672592163, -1.1036958694458008]"
Flip.shop,12+,Humans Inc.,Free,Shopping,1,27991,"[-0.02364009 -0.05878614 -0.03298041 ...  0.01481225 -0.00932379
  0.00687712]","[1.4124786853790283, 0.4759466350078583]"
Shazam: Music Discovery,12+,Apple,Free,Music,1,28821,"[-0.0373037  -0.01375425 -0.00383745 ...  0.00134599 -0.0170051
 -0.00080311]","[-3.235246419906616, 7.379952430725098]"
Audible: Audio Entertainment,12+,"Audible, Inc.",Free,Books,24,23749,"[-0.00486251 -0.02084932 -0.02315036 ...  0.00458654 -0.00541834
 -0.01379849]","[2.4455316066741943, -5.359025001525879]"
